token,value,usage,examples
valthera-950,#0D0705,background deep,"index.html"
valthera-900,#1A0F08,nav / background,"index.html, App.tsx"
valthera-800,#2D1B0E,card background,"index.html, pages/SeriesBrowser.tsx"
valthera-700,#4A2C17,borders/accent,"index.html"
valthera-600,#6B3D1F,accents/hover,"index.html"
valthera-500,#8B5A2B,CTA/button,"pages/Register.tsx"
valthera-400,#C9A227,brand gold,"index.html, favicon.svg"
valthera-300,#D4AF37,legendary gold,"index.html"
valthera-200,#E8D5A3,secondary text,"index.html"
valthera-100,#F5ECD7,primary text,"index.html"
blood-600,#8B0000,alerts,"pages/Register.tsx"
forest-700,#1B4D3E,success/badges,"pages/SeriesBrowser.tsx"
steel-600,#4A5568,neutral text,"index.html"
rarity-legendary,#D4AF37,legendary tag,"pages/BoosterOpening.tsx"
gradient-global,linear-gradient(180deg, #0D0705 0%, #1A0F08 50%, #2D1B0E 100%),main background,"index.html"
fonts,\"Cinzel;Crimson Text\",titles/body,"index.html"
